subject,survey,order,judgment,item,condition,zscores,dependency,island,structure,distance
A15EZJS1DROADE,1.3,13,1,F.1.UG,F.1.UG,-2.677619051,filler,filler,filler,filler
A1948V3S82RNX5,1.2,17,1,F.1.UG,F.1.UG,-1.188566717,filler,filler,filler,filler
A19P3BIPW6UMQ9,1.2,17,2,F.1.UG,F.1.UG,-1.012792092,filler,filler,filler,filler
A1BZDH1VJJK97V,1.1,26,2,F.1.UG,F.1.UG,-1.148200576,filler,filler,filler,filler
A1CE3DR200PXSS,1.2,17,1,F.1.UG,F.1.UG,-1.285707861,filler,filler,filler,filler
A1CM612SSQU5L,1.2,17,1,F.1.UG,F.1.UG,-1.503515667,filler,filler,filler,filler
A1HAVPMOU2M5PY,1.4,54,7,F.1.UG,F.1.UG,1.2314092,filler,filler,filler,filler
A1J98D0GPAKZN4,1.4,54,1,F.1.UG,F.1.UG,-1.471889011,filler,filler,filler,filler
A1K9WP8Q74E9G2,1.1,26,1,F.1.UG,F.1.UG,-1.222504619,filler,filler,filler,filler
A1M852SY36DON7,1.3,13,1,F.1.UG,F.1.UG,-1.261022896,filler,filler,filler,filler
A1MDT1W0O9A4H1,1.3,13,1,F.1.UG,F.1.UG,-0.886240278,filler,filler,filler,filler
A1NK6UXWXKFMC7,1.1,26,2,F.1.UG,F.1.UG,-1.170580383,filler,filler,filler,filler
A1QKX5CZJQONP,1.4,54,2,F.1.UG,F.1.UG,-1.007313498,filler,filler,filler,filler
A1SQMNG9DFY7FH,1.3,13,1,F.1.UG,F.1.UG,-1.567159363,filler,filler,filler,filler
A1THS7D4TNY4CR,1.3,13,1,F.1.UG,F.1.UG,-1.041401869,filler,filler,filler,filler
A1VSHM4NLZ705D,1.4,54,1,F.1.UG,F.1.UG,-0.962245252,filler,filler,filler,filler
A1WP410YX2JBKI,1.2,17,2,F.1.UG,F.1.UG,-2.111641627,filler,filler,filler,filler
A233ONYNWKDIYF,1.4,54,1,F.1.UG,F.1.UG,-1.197977096,filler,filler,filler,filler
A263S59PIYRBDO,1.3,13,1,F.1.UG,F.1.UG,-1.709646639,filler,filler,filler,filler
A28JXW5YZJDNK4,1.2,17,2,F.1.UG,F.1.UG,-0.842082307,filler,filler,filler,filler
A2GI2J0X6XKOPT,1.1,26,1,F.1.UG,F.1.UG,-0.925071218,filler,filler,filler,filler
A2J7PEUIO2WVUN,1.2,17,1,F.1.UG,F.1.UG,-1.291570771,filler,filler,filler,filler
A2M5VW97GIYLHB,1.2,17,2,F.1.UG,F.1.UG,-1.076196333,filler,filler,filler,filler
A2NRW37D7QPLRE,1.4,54,1,F.1.UG,F.1.UG,-1.290999425,filler,filler,filler,filler
A2OZYT2ECPT2XU,1.2,17,1,F.1.UG,F.1.UG,-1.21987803,filler,filler,filler,filler
A2PCVB3ZVRHUNW,1.4,54,1,F.1.UG,F.1.UG,-1.335063715,filler,filler,filler,filler
A2PQHWG79HDCX6,1.4,54,1,F.1.UG,F.1.UG,-1.197358575,filler,filler,filler,filler
A2RDTTBASNV2XF,1.1,26,1,F.1.UG,F.1.UG,-0.812309977,filler,filler,filler,filler
A2UZQ035V9POIA,1.1,26,2,F.1.UG,F.1.UG,-1.061371984,filler,filler,filler,filler
A2WVRLFUYWHGKA,1.2,17,3,F.1.UG,F.1.UG,-0.722332448,filler,filler,filler,filler
A2Y831RL41QACN,1.1,26,2,F.1.UG,F.1.UG,-1.335561049,filler,filler,filler,filler
A3209D1227UCYP,1.2,17,1,F.1.UG,F.1.UG,-1.249371769,filler,filler,filler,filler
A32FEQZPN9GQ2L,1.2,17,1,F.1.UG,F.1.UG,-1.73011782,filler,filler,filler,filler
A344PJ1S7Q9O4C,1.1,26,3,F.1.UG,F.1.UG,-0.892916512,filler,filler,filler,filler
A35R4APHZXD833,1.4,54,7,F.1.UG,F.1.UG,0.839064316,filler,filler,filler,filler
A37FR57D4F0Q87,1.1,26,1,F.1.UG,F.1.UG,-1.532558574,filler,filler,filler,filler
A37I58C4258IPX,1.3,13,1,F.1.UG,F.1.UG,-1.690471567,filler,filler,filler,filler
A3CQZVJVN8AVQ8,1.1,26,1,F.1.UG,F.1.UG,-1.388346784,filler,filler,filler,filler
A3EYWJCIO1MG9W,1.4,54,2,F.1.UG,F.1.UG,-1.06821331,filler,filler,filler,filler
A3G7NL91BRY9JL,1.3,13,1,F.1.UG,F.1.UG,-1.527013656,filler,filler,filler,filler
A3HN5JC841NDWK,1.3,13,1,F.1.UG,F.1.UG,-1.505567097,filler,filler,filler,filler
A3IVKWYOH27D61,1.1,26,1,F.1.UG,F.1.UG,-0.97183877,filler,filler,filler,filler
A3JFM7PRPF0G5H,1.3,13,1,F.1.UG,F.1.UG,-1.419679142,filler,filler,filler,filler
A3KCUB6P3IE8NL,1.2,17,2,F.1.UG,F.1.UG,-1.493207512,filler,filler,filler,filler
A3V33XEK4JWVH8,1.4,54,1,F.1.UG,F.1.UG,-1.566213298,filler,filler,filler,filler
A9T5V1H64MQBM,1.1,26,1,F.1.UG,F.1.UG,-1.125054148,filler,filler,filler,filler
ACFBUSLSNUGRU,1.3,13,1,F.1.UG,F.1.UG,-1.381606515,filler,filler,filler,filler
AD8VVYGP4LRKG,1.2,17,1,F.1.UG,F.1.UG,-1.306758116,filler,filler,filler,filler
AD8ZUKPJT9E6,1.3,13,1,F.1.UG,F.1.UG,-1.158479431,filler,filler,filler,filler
ALUJFL3QDRROH,1.1,26,3,F.1.UG,F.1.UG,-0.907911598,filler,filler,filler,filler
AMN2BRHBYE4G1,1.3,13,5,F.1.UG,F.1.UG,0.224214242,filler,filler,filler,filler
AND6DQZ62U6VV,1.3,13,1,F.1.UG,F.1.UG,-1.482419975,filler,filler,filler,filler
APGX2WZ59OWDN,1.4,54,1,F.1.UG,F.1.UG,-1.038255252,filler,filler,filler,filler
AQC0SZA1E9QO7,1.1,26,2,F.1.UG,F.1.UG,-1.118537993,filler,filler,filler,filler
AUN8AE8UCO3MD,1.4,54,1,F.1.UG,F.1.UG,-1.974997406,filler,filler,filler,filler
A11NPNK8885N99,2.3,28,1,F.1.UG,F.1.UG,-1.2254252,filler,filler,filler,filler
A15BW2CIPHVPG4,2.3,28,3,F.1.UG,F.1.UG,-1.119904837,filler,filler,filler,filler
A15NQQ77E3QJ3V,2.1,10,2,F.1.UG,F.1.UG,-0.771004231,filler,filler,filler,filler
A19P3BIPW6UMQ9,2.4,44,1,F.1.UG,F.1.UG,-1.235597983,filler,filler,filler,filler
A1BNQ6H4SJZ2X5,2.4,44,1,F.1.UG,F.1.UG,-1.117683537,filler,filler,filler,filler
A1ET164AZEK2LI,2.1,10,1,F.1.UG,F.1.UG,-1.008354783,filler,filler,filler,filler
A1F8MOWCCVDIH2,2.1,10,1,F.1.UG,F.1.UG,-1.240873831,filler,filler,filler,filler
A1FGN2JF4LCF9B,2.3,28,1,F.1.UG,F.1.UG,-1.15638716,filler,filler,filler,filler
A1HAVPMOU2M5PY,2.1,10,1,F.1.UG,F.1.UG,-1.629339127,filler,filler,filler,filler
